Brand,RAM_GB,Storage_GB,Battery_mAh,Screen_Size_inch,Rear_Camera_MP,Front_Camera_MP,Rating,Reviews,OS,Has_5G,Price_USD
Realme,6,128,4500,4.8,13,13,4.0,63429,Android,1,625
Xiaomi,8,256,5000,6.5,12,8,4.6,63072,Android,1,795
Huawei,8,64,5000,5.4,48,8,3.9,27007,Android,1,645
Samsung,8,128,5500,6.4,50,16,3.5,40547,Android,0,750
Huawei,6,512,3500,4.8,50,8,4.6,32359,Android,0,835
Oppo,4,128,4000,5.3,64,20,3.7,77993,Android,1,650
Apple,4,32,4000,5.9,50,13,4.9,22460,iOS,0,875
Samsung,4,128,3000,5.0,13,8,4.3,30337,Android,0,560
Asus,6,256,4500,6.0,48,32,3.8,65895,Android,0,655
Samsung,6,128,5500,6.0,13,16,3.9,72054,Android,0,740
OnePlus,4,256,5500,5.1,13,13,4.3,46358,Android,1,795
Realme,8,32,5500,5.3,64,13,4.7,11307,Android,1,645
Xiaomi,12,64,4500,6.5,108,13,4.5,33409,Android,1,740
Oppo,6,64,4500,5.4,50,8,4.7,67483,Android,1,650
Motorola,6,128,4000,4.9,108,32,4.1,34298,Android,0,520
Xiaomi,8,256,3000,6.7,48,32,3.6,56151,Android,0,640
Sony,12,1024,5000,5.8,108,13,4.5,53556,Android,0,1210
Oppo,4,256,3500,5.5,50,5,3.7,10020,Android,1,705
Samsung,4,32,5000,6.5,64,5,3.8,36153,Android,0,635
Huawei,4,512,4000,6.0,108,32,4.1,72369,Android,1,880
Samsung,6,128,4500,6.4,64,20,5.0,75840,Android,1,750
Oppo,8,128,4000,6.6,50,16,3.6,62747,Android,1,720
Apple,8,256,3000,6.8,13,20,4.8,32837,iOS,1,1095
Huawei,6,128,4500,5.7,64,16,3.1,1600,Android,1,705
Huawei,6,256,4500,5.2,48,8,3.7,65264,Android,0,740
Apple,6,128,4500,7.2,108,8,4.5,47667,iOS,1,1080
Vivo,4,32,3000,6.2,48,13,4.8,31040,Android,1,600
Samsung,8,128,4000,6.8,48,16,4.3,32896,Android,1,785
Xiaomi,8,512,3500,6.1,50,8,3.5,31174,Android,1,780
Samsung,4,64,5000,6.2,48,8,4.7,734,Android,0,660
Samsung,12,128,5000,5.4,200,13,3.3,4300,Android,1,880
Samsung,12,128,4500,6.7,48,13,3.7,69335,Android,1,770
Xiaomi,16,128,4500,5.3,13,32,4.5,45792,Android,1,765
Samsung,8,64,3000,7.0,64,20,3.3,44083,Android,0,655
Apple,4,1024,5000,6.1,13,16,5.0,45966,iOS,0,1280
Samsung,2,64,4500,5.0,108,13,4.6,34235,Android,1,685
Nokia,3,64,6000,6.4,12,20,3.7,61247,Android,1,610
Oppo,12,64,4000,5.3,13,13,4.2,62917,Android,0,715
Samsung,3,64,2500,4.8,12,16,4.9,51112,Android,1,665
Motorola,16,128,4000,5.9,50,13,5.0,33742,Android,0,750
Oppo,8,512,4500,5.9,108,20,3.7,74336,Android,1,880
Samsung,8,32,4500,5.7,48,13,4.5,4676,Android,0,640
Oppo,6,512,5000,6.6,13,32,4.4,8847,Android,0,710
Vivo,6,128,4500,4.9,64,16,3.7,35710,Android,0,515
Huawei,6,64,4500,4.8,12,8,3.8,21325,Android,1,620
Huawei,12,32,5500,5.0,64,13,3.3,14658,Android,0,630
Apple,2,128,4500,5.0,12,16,3.3,8558,iOS,1,895
Sony,16,64,5000,6.4,108,5,4.7,73876,Android,1,915
Xiaomi,12,32,3500,6.7,108,13,4.9,55579,Android,0,640
Apple,3,128,4500,5.3,48,8,4.9,39082,iOS,0,915
Oppo,8,512,4500,4.7,200,16,4.3,33311,Android,0,915
Xiaomi,6,128,3500,5.9,13,13,4.5,56805,Android,0,525
Samsung,6,128,3000,5.3,13,16,4.6,39132,Android,0,580
Motorola,16,128,5500,4.9,200,13,3.9,69132,Android,0,810
Motorola,6,128,4500,6.2,12,13,4.0,31908,Android,0,565
Huawei,4,1024,5000,5.4,13,8,4.3,53298,Android,1,1045
Xiaomi,8,128,3000,6.3,108,5,3.7,18695,Android,1,750
Realme,8,128,3000,6.7,12,5,3.0,54935,Android,1,600
Huawei,4,128,3000,5.9,108,8,4.5,41807,Android,0,625
Samsung,2,32,3500,5.8,13,5,4.6,13521,Android,0,545
Xiaomi,4,512,5500,7.0,48,16,3.1,14906,Android,1,700
Vivo,8,128,4000,5.9,64,16,4.0,10676,Android,0,635
Sony,16,256,4500,5.5,48,16,4.1,73210,Android,0,930
Realme,12,128,4500,7.0,13,5,3.1,47679,Android,1,675
Vivo,4,128,2500,5.5,64,16,4.5,69092,Android,0,480
Samsung,8,512,4500,7.0,48,8,4.8,62853,Android,0,985
Apple,6,128,4000,4.9,200,8,4.8,7485,iOS,1,1085
Samsung,4,512,5000,5.6,200,5,3.1,78925,Android,0,890
Apple,16,64,5500,4.8,13,32,3.5,50909,iOS,1,1110
Realme,4,64,4500,4.9,12,20,4.1,15664,Android,1,550
Sony,6,256,3500,5.4,64,20,3.1,9593,Android,0,665
Samsung,4,64,4000,6.6,50,16,3.7,54619,Android,0,625
Apple,4,1024,6000,6.6,13,20,4.3,27662,iOS,1,1395
Samsung,12,512,2500,5.4,48,16,4.2,25505,Android,1,845
Nokia,12,128,4500,5.3,108,13,3.9,76515,Android,1,725
Realme,6,256,4500,6.7,64,13,3.6,22073,Android,0,640
Huawei,4,128,5000,6.7,108,8,4.0,41416,Android,1,675
Motorola,4,64,4500,5.3,13,13,3.0,23082,Android,0,425
Samsung,3,64,5000,6.5,13,8,4.3,14265,Android,0,600
Xiaomi,8,256,5000,6.1,48,20,3.9,73121,Android,0,725
Oppo,3,128,6000,5.7,50,16,3.2,73762,Android,0,550
Oppo,12,128,6000,6.2,64,16,3.5,3709,Android,1,700
Realme,6,256,5000,5.6,64,13,3.9,6782,Android,1,690
Huawei,6,512,4500,5.6,108,16,4.0,17299,Android,0,805
Apple,3,64,3000,6.2,108,16,3.0,46205,iOS,1,980
Samsung,12,256,2500,6.1,108,5,3.8,5345,Android,1,805
Vivo,6,128,4000,6.0,13,13,3.6,28534,Android,0,555
Apple,6,256,3500,5.8,13,16,3.9,55520,iOS,1,1005
Huawei,6,512,4500,4.9,13,16,4.5,67367,Android,0,740
Xiaomi,12,256,6000,5.0,48,20,4.3,50471,Android,1,755
Realme,8,256,4000,6.5,50,16,4.5,29274,Android,1,680
Xiaomi,16,512,4500,5.4,13,16,3.7,9408,Android,0,735
Samsung,3,128,4500,6.3,108,13,4.6,33040,Android,1,725
Apple,8,128,4500,5.8,108,8,3.3,47508,iOS,0,940
Samsung,6,128,4500,6.8,48,20,3.8,25157,Android,1,720
Apple,3,1024,4000,5.5,48,5,4.1,30553,iOS,1,1380
Oppo,4,256,4000,4.8,50,20,4.7,57803,Android,0,565
Xiaomi,8,256,3000,7.2,48,16,4.5,56261,Android,1,755
